Description,TIMESTAMP
Statistics: FilesDownloaded:31; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640935585; ReusedBytes:1148637458520; DownloadedBytes:2965588; RunTimeInSec:189; ManifestTimeSec:8; CleanupTimeSec:1; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:41:51.1354916Z
Statistics: FilesDownloaded:27; TotalNumberOfFiles:921080; SnapshotSizeBytes:3213336987104; ReusedBytes:3213333547639; DownloadedBytes:2965588; RunTimeInSec:253; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:42:54.719633Z
Statistics: FilesDownloaded:34; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640935543; ReusedBytes:1148640277762; DownloadedBytes:35144; RunTimeInSec:176; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:44:48.3641577Z
Statistics: FilesDownloaded:35; TotalNumberOfFiles:704807; SnapshotSizeBytes:1151150972651; ReusedBytes:1151147486626; DownloadedBytes:2972338; RunTimeInSec:329; ManifestTimeSec:15; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989815; FilesFilterOutBySize:0,2020-07-02T12:45:10.8292211Z
Statistics: FilesDownloaded:30; TotalNumberOfFiles:921080; SnapshotSizeBytes:3213336987115; ReusedBytes:3213336342924; DownloadedBytes:56540; RunTimeInSec:244; ManifestTimeSec:13; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:46:59.2566121Z
Statistics: FilesDownloaded:42; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640935491; ReusedBytes:1148640323820; DownloadedBytes:177800; RunTimeInSec:182; ManifestTimeSec:15; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:47:51.3342319Z
Statistics: FilesDownloaded:47; TotalNumberOfFiles:704807; SnapshotSizeBytes:1151150972468; ReusedBytes:1151150142260; DownloadedBytes:206194; RunTimeInSec:334; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989815; FilesFilterOutBySize:0,2020-07-02T12:50:46.2407382Z
Statistics: FilesDownloaded:27; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640935639; ReusedBytes:1148640481227; DownloadedBytes:0; RunTimeInSec:187; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:50:59.350779Z
Statistics: FilesDownloaded:35; TotalNumberOfFiles:921080; SnapshotSizeBytes:3213336987219; ReusedBytes:3213336397565; DownloadedBytes:114492; RunTimeInSec:242; ManifestTimeSec:13; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:51:02.0629425Z
Statistics: FilesDownloaded:31; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640935564; ReusedBytes:1148640468751; DownloadedBytes:42674; RunTimeInSec:175; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:53:55.4042222Z
